id,type,section,topic,page,qno,stem,A,B,C,D,answer,year,meta,source_file
q_587c802907e1,mcq,PDF,其他选择题,26.0,58,Do let your mother know all the truth. She appears ______ everything.,to tell,to be told,to be telling,to have been told,D,,（答案：D）,练习题整理.txt
q_46bf71dc6f52,mcq,PDF,其他选择题,26.0,59,"I don’t know whether you happen ______, but I’m going to study in the U.S.A. this September.",to be heard,to be hearing,to hear,to have heard,C,,（答案：C）,练习题整理.txt
q_7b56d5a0563f,mcq,PDF,其他选择题,26.0,60,"As the twentieth century came to a close, the raw materials for a great national literature were at hand, waiting ______.",to use,to be used,to have used,to be using,B,,（答案：B）,练习题整理.txt
q_9e753dfe786f,mcq,PDF,其他选择题,26.0,61,All these gifts must be mailed immediately ______ in time for Christmas.,in order to have received,in order to receive,so as to be received,so as to be receiving,C,,（答案：C）,练习题整理.txt
q_0ecb63c421d2,mcq,PDF,作宾语补足语,26.0,64,Some cities have passed laws that allow coal and oil ______ only if their sulfur content is low.,burning,to burn,being burned,to be burned,D,,（答案：D）,练习题整理.txt
q_dbb383fec2cd,mcq,PDF,作宾语补足语,26.0,65,"The team really looks good tonight, because the coach had them ______ every night this week.",practice,to practice,practiced,practicing,A,,（答案：A）,练习题整理.txt
q_ec61e42db6e7,mcq,PDF,作宾语补足语,26.0,66,The teacher has his students ______ a composition every other week.,to write,written,writing,write,D,,（答案：D）,练习题整理.txt
q_822a9b9aa94e,mcq,PDF,作宾语补足语,26.0,67,The manager has his employees ______ a business report every week.,to write,written,writing,write,D,,（答案：D）,练习题整理.txt
q_9727e63ac6a0,mcq,PDF,作宾语补足语,26.0,68,I’ll ______ that I’m a qualified engineer.,have you know,have known you,have you knowing,have you known,A,,（答案：A）,练习题整理.txt
q_b8daf2b0c1e2,mcq,PDF,作宾语补足语,26.0,69,"Who would you rather have ______ the computer, Mr. Li or Mr. Chen?",repaired,repair,repairing,to repair,B,,（答案：B）,练习题整理.txt
q_06496b3e3f24,mcq,PDF,作宾语补足语,26.0,70,"If anyone happens to drop in while I am out, ______ him or her leave a message.",have,get,ask,tell,D,,（答案：D）,练习题整理.txt
q_125110573397,mcq,PDF,作宾语补足语,26.0,71,Did you notice the little boy ______ away?,took the candy and ran,taking the candy and running,take the candy and run,who took the candy and ran,C,,（答案：C）,练习题整理.txt
q_0e773dc10127,mcq,PDF,作宾语补足语,26.0,72,The middle-aged man was seen ______ out of the house on the afternoon of the murder.,came,come,to come,have come,C,,（答案：C）,练习题整理.txt
q_0bc29a2a6ada,mcq,PDF,作宾语补足语,26.0,73,"Because of many mistakes, she was made ______ these letters again.",type,typing,typed,to type,D,,（答案：D）,练习题整理.txt
q_39a42651d090,mcq,PDF,作宾语补足语,26.0,74,The director had her assistant ______ some hot dogs for the staff members.,pick up,picks up,picked up,picking up,A,,（答案：A）,练习题整理.txt
q_ba4318cd22e4,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,77,People appreciate ______ with him because he has a good sense of humor.,to work,working,to have worked,having worked,B,,（答案：B）,练习题整理.txt
q_9a7a08c58552,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,78,"You don't object ______ you by your first name, do you?",for me to call,me to call,my calling,me calling,C,,（答案：C）,练习题整理.txt
q_3e5cc81a27b9,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,79,"If Mary catches ______ her diary, she'll be angry.",you reading,yours reading,you read,you to read,A,,（答案：A）,练习题整理.txt
q_749802ea1d2d,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,80,The teacher doesn’t permit ______ in class.,smoke,to smoke,smoking,to have a smoke,C,,（答案：C）,练习题整理.txt
q_d1e41cc8d87d,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,81,I appreciate ______ to your home.,to be invited,to have invited,having invited,being invited,D,,（答案：D）,练习题整理.txt
q_2ff9254d9b7b,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,82,I really appreciate ______ to talk with you on this nice island.,to have had time,having time,to have time,to having time,B,,（答案：B）,练习题整理.txt
q_10ff599f69f3,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,83,I would appreciate ______ back this afternoon.,you to call,you call,your calling,you’re calling,C,,（答案：C）,练习题整理.txt
q_e5f249050d96,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,84,Mark often attempts to escape ______ whenever he breaks traffic regulations.,having been fined,to have been fined,being fined,to be fined,C,,（答案：C）,练习题整理.txt
q_8a4c32eb5ca6,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,85,His remarks left me ______ about his real purpose.,wondered,wonder,to wonder,wondering,D,,（答案：D）,练习题整理.txt
q_9f7d68bcb9a2,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,86,I don’t mind ______ the decision as long as it is not too long.,you to delay making,your delaying making,your delaying to make,you delay to make,B,,（答案：B）,练习题整理.txt
q_ae0e4ce756e1,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,87,"Peter, who had been driving all day, suggested ______ at the next town.",to stop,stopping,stop,having stopped,B,,（答案：B）,练习题整理.txt
q_14762ed73c16,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,88,"The parents suggested ______ in the hotel room, but their kids were anxious to camp out during the trip.",sleeping,to sleep,sleep,having slept,A,,（答案：A）,练习题整理.txt
q_b887f45c1b43,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,89,It is difficult to imagine his ______ the decision without any consideration.,accept,accepting,to accept,accepted,B,,（答案：B）,练习题整理.txt
q_372d5207587b,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,90,I can hardly imagine Peter ______ across the Atlantic Ocean in five days.,sail,to sail,sailing,to have sailed,C,,（答案：C）,练习题整理.txt
q_5572d78df20a,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,91,That young man still denies ______ the fire behind the store.,start,to start,having started,to have started,C,,（答案：C）,练习题整理.txt
q_81f77f94dae0,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,92,"Although a teenager, Fred could resist ______ what to do and what not to do.",being told,telling,to be told,to tell,A,,（答案：A）,练习题整理.txt
q_f6ed5bfdf420,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,93,"He got well-prepared for the job interview, for he couldn’t risk ______ the good opportunity.",to lose,losing,to be lost,being lost,B,,（答案：B）,练习题整理.txt
q_661c6a27546a,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,94,I really can't understand ______ her like that.,you treat,you to treat,why treat,you treating,D,,（答案：D）,练习题整理.txt
q_b9615cd88e21,mcq,PDF,动名词 / suggest / appreciate / mind / deny 等,26.0,95,The squirrel was lucky that it just missed ______.,catching,to be caught,being caught,to catch,C,,（答案：C）,练习题整理.txt
q_24956b7f8fe6,mcq,PDF,介词 + 动名词,26.0,96,Helen apologized for ______ to attend the party.,her not being able,her being not able,her to be not able,her not to be able,A,,（答案：A）,练习题整理.txt
q_6c23e1e14091,mcq,PDF,介词 + 动名词,26.0,97,She apologized for ______ to attend the meeting.,her being not able,her to be not able,her not to be able,her not being able to,D,,（答案：D）,练习题整理.txt
q_2af6f6409e43,mcq,PDF,介词 + 动名词,26.0,98,I am very sorry for ______ for so long.,keeping you waiting,having kept you waiting,waiting for you,keep you wait,B,,（答案：B）,练习题整理.txt
q_16b3d2395fe7,mcq,PDF,介词 + 动名词,26.0,99,We all feel sorry for ______ for so long after your arrival.,keeping you waiting,having kept you waiting,waiting for you,keep you wait,B,,（答案：B）,练习题整理.txt
q_364f3159a073,mcq,PDF,介词 + 动名词,26.0,100,He forgot about ______ him to attend my wife’s birthday party.,asking,my asking,me to ask,mine to ask,B,,（答案：B）,练习题整理.txt
q_dffa6794bcf4,mcq,PDF,介词 + 动名词,26.0,101,Your experiment reports must be checked with care before ______.,handed them in,them handing in,being handed in,handing them in,C,,（答案：C）,练习题整理.txt
q_15c60cde83d6,mcq,PDF,介词 + 动名词,26.0,102,"Because of my poor English, I'm afraid I can't make myself ______.",understand,to understand,understanding,understood,D,,（答案：D）,练习题整理.txt
q_6066fc29f04b,mcq,PDF,介词 + 动名词,26.0,103,"______ in the air, fuels give off heat.",To burn,Burned,To be burned,Being burned,D,,（答案：D）,练习题整理.txt
q_12f9ab3b18da,mcq,PDF,介词 + 动名词,26.0,104,"______ from space, our earth, with water covering 70% of its surface, appears as a ""blue planet"".",Seen,Seeing,To be seen,Having seen,A,,（答案：A）,练习题整理.txt
q_28fcd2c03c12,mcq,PDF,介词 + 动名词,26.0,105,"______ under a microscope, a fresh snowflake has a delicate six-pointed shape.",Seeing,Seen,To see,To be seen,B,,（答案：B）,练习题整理.txt
q_559f3d5e796e,mcq,PDF,介词 + 动名词,26.0,106,"______ tired after a hard work, she fell into bed and went straight to sleep. （原句错误：a hard work → hard work） 修正后：______ tired after hard work, she fell into bed and went straight to sleep.",Felt,Feeling,Being felt,To feel,B,,（答案：B）,练习题整理.txt
q_b74625915201,mcq,PDF,介词 + 动名词,26.0,107,"______ mostly in small towns, I'd only recently fallen in love with cities.",Grown up,Being grown up,Growing up,Having grown up,D,,（答案：D）,练习题整理.txt
q_e59c7895e68d,mcq,PDF,介词 + 动名词,26.0,108,"______ by the look on her face, she didn't catch what I meant.",Judging,Judged,Judge,To judge,A,,（答案：A）,练习题整理.txt
q_d08f515c391b,mcq,PDF,介词 + 动名词,26.0,110,"They sent us their statement, ______ to get our support.",hoped,to hope,hoping,having hoped,C,,（答案：C）,练习题整理.txt
q_1b6bec30f63b,mcq,PDF,介词 + 动名词,26.0,111,"She could have done just as well as you, ______ the chance.",given,to give,giving,give,A,,（答案：A）,练习题整理.txt
q_0bfedd8386f9,mcq,PDF,介词 + 动名词,26.0,112,"______ time, he'll make a first-class tennis player.",Giving,To give,Given,Being given,C,,（答案：C）,练习题整理.txt
q_7e8f0e919cb8,mcq,PDF,介词 + 动名词,26.0,113,"Suddenly, a tall man driving a golden carriage ______ the girl and took her away, ______ into the woods.",seizing; disappeared,seized; disappeared,seizing; disappearing,seized; disappearing,D,,（答案：D）,练习题整理.txt
q_095670e9541b,mcq,PDF,介词 + 动名词,26.0,114,"I walked out of the cinema, ______ to return to see the wonderful film the next Sunday.",determine,being determined,determined,to be determined,C,,（答案：C）,练习题整理.txt
q_f5fa3d57101e,mcq,PDF,介词 + 动名词,26.0,117,"John, ______ the bet, had to pay for the dinner.",lost,having lost,losing,having loss,B,,（答案：B）,练习题整理.txt
q_448f85c23e16,mcq,PDF,介词 + 动名词,26.0,118,"He changed his name, ______ that nobody would find out what he had done before.",having thought,to think,thinks,thinking,D,,（答案：D）,练习题整理.txt
q_dea9682d9e62,mcq,PDF,介词 + 动名词,26.0,119,"Having taken our seats, ______.",the professor began the lecture,the lecture began in no time,we were attracted by the lecturer immediately,the bell announced the beginning of the lecture,A,,（答案：A）,练习题整理.txt
q_01a0796e8143,mcq,PDF,介词 + 动名词,26.0,120,"______ twice, the postman refused to deliver our letters unless we chained our dog.",Being bitten,Bitten,Having bitten,To be bitten,B,,（答案：B）,练习题整理.txt
q_a36901478c0d,mcq,PDF,介词 + 动名词,26.0,121,"______ their hats into the air, the fans of the winning team let out loud shouts of victory.",To throw,Thrown,Throwing,Being thrown,C,,（答案：C）,练习题整理.txt
q_055e7ffbf3e2,mcq,PDF,122,26.0,123,He opened the door and let himself in quietly ______ not to bother the family.,because,so as,so that,despite,B,,（答案：B）,练习题整理.txt
q_e8bb3547bf7a,mcq,PDF,122,26.0,124,"______ anything about the accident, he went to work as well.",Not know,Know not,Knowing not,Not knowing,D,,（答案：D）,练习题整理.txt
q_fac83168e475,mcq,PDF,其他真题选编,26.0,125,"______ the programme, they have to stay there for another two weeks.",Not completing,Not completed,Not having completed,Having not completed,C,,（答案：C）,练习题整理.txt
q_d1197e9dd79f,mcq,PDF,其他真题选编,26.0,126,"______ a reply, he decided to write again.",Not receiving,Receiving not,Not having received,Having not received,C,,（答案：C）,练习题整理.txt
q_9ec88885a472,mcq,PDF,其他真题选编,26.0,127,Tony was very unhappy for ______ to the party.,having not been invited,not having invited,having not invited,not having been invited,D,,（答案：D）,练习题整理.txt
q_86e6c37d2bbb,mcq,PDF,其他真题选编,26.0,128,Victor apologized for ______ to inform me of the change in the plan.,his being not able,him not to be able,his not being able,him to be not able,C,,（答案：C）,练习题整理.txt
q_0e041e075fed,mcq,PDF,其他真题选编,26.0,129,The patient was warned ______ oily food after the operation.,to eat not,eating not,not to eat,not eating,C,,（答案：C）,练习题整理.txt
q_356f66fb265f,mcq,PDF,其他真题选编,26.0,130,Tom kept quiet about the accident ______ lose his job.,so not as to,so as not to,so as to not,not so as to,B,,（答案：B）,练习题整理.txt
q_6440327991b4,mcq,PDF,其他真题选编,26.0,131,She pretended ______ me when I passed by.,not to see,not seeing,to not see,having not seen,A,,（答案：A）,练习题整理.txt
